frequency	V(inoise)	V(onoise)
5.128613839913641e-001	1.457911e-007	6.673000e-008
5.248074602497718e-001	1.424725e-007	6.640295e-008
5.370317963702519e-001	1.392294e-007	6.606560e-008
5.495408738576236e-001	1.360602e-007	6.571779e-008
5.623413251903481e-001	1.329630e-007	6.535942e-008
5.754399373371559e-001	1.299364e-007	6.499037e-008
5.888436553555879e-001	1.269787e-007	6.461055e-008
6.025595860743567e-001	1.240883e-007	6.421989e-008
6.165950018614811e-001	1.212637e-007	6.381831e-008
6.309573444801921e-001	1.185034e-007	6.340578e-008
6.456542290346544e-001	1.158060e-007	6.298227e-008
6.606934480075949e-001	1.131699e-007	6.254776e-008
6.760829753919806e-001	1.105938e-007	6.210229e-008
6.918309709189353e-001	1.080764e-007	6.164587e-008
7.079457843841367e-001	1.056163e-007	6.117857e-008
7.244359600749888e-001	1.032122e-007	6.070045e-008
7.413102413009162e-001	1.008628e-007	6.021163e-008
7.585775750291823e-001	9.856686e-008	5.971221e-008
7.762471166286903e-001	9.632321e-008	5.920236e-008
7.943282347242799e-001	9.413062e-008	5.868223e-008
8.128305161640976e-001	9.198795e-008	5.815201e-008
8.317637711026693e-001	8.989404e-008	5.761193e-008
8.511380382023747e-001	8.784781e-008	5.706222e-008
8.709635899560788e-001	8.584815e-008	5.650314e-008
8.912509381337437e-001	8.389401e-008	5.593497e-008
9.120108393559078e-001	8.198435e-008	5.535802e-008
9.332543007969890e-001	8.011816e-008	5.477261e-008
9.549925860214339e-001	7.829444e-008	5.417909e-008
9.772372209558086e-001	7.651224e-008	5.357782e-008
9.999999999999978e-001	7.477061e-008	5.296920e-008
1.023292992280752e+000	7.306863e-008	5.235360e-008
1.047128548050897e+000	7.140538e-008	5.173145e-008
1.071519305237604e+000	6.977999e-008	5.110319e-008
1.096478196143182e+000	6.819161e-008	5.046924e-008
1.122018454301961e+000	6.663938e-008	4.983007e-008
1.148153621496880e+000	6.512248e-008	4.918613e-008
1.174897554939527e+000	6.364011e-008	4.853791e-008
1.202264434617410e+000	6.219148e-008	4.788588e-008
1.230268770812378e+000	6.077583e-008	4.723051e-008
1.258925411794164e+000	5.939241e-008	4.657230e-008
1.288249551693131e+000	5.804047e-008	4.591174e-008
1.318256738556404e+000	5.671931e-008	4.524931e-008
1.348962882591650e+000	5.542822e-008	4.458550e-008
1.380384264602881e+000	5.416652e-008	4.392079e-008
1.412537544622750e+000	5.293354e-008	4.325566e-008
1.445439770745923e+000	5.172862e-008	4.259059e-008
1.479108388168203e+000	5.055114e-008	4.192603e-008
1.513561248436204e+000	4.940045e-008	4.126245e-008
1.548816618912477e+000	4.827596e-008	4.060029e-008
1.584893192461109e+000	4.717707e-008	3.994000e-008
1.621810097358925e+000	4.610319e-008	3.928198e-008
1.659586907437555e+000	4.505375e-008	3.862666e-008
1.698243652461739e+000	4.402820e-008	3.797443e-008
1.737800828749370e+000	4.302600e-008	3.732568e-008
1.778279410038917e+000	4.204660e-008	3.668076e-008
1.819700858609977e+000	4.108951e-008	3.604005e-008
1.862087136662861e+000	4.015419e-008	3.540386e-008
1.905460717963241e+000	3.924017e-008	3.477252e-008
1.949844599758039e+000	3.834696e-008	3.414634e-008
1.995262314968873e+000	3.747408e-008	3.352559e-008
2.041737944669523e+000	3.662106e-008	3.291056e-008
2.089296130854033e+000	3.578747e-008	3.230150e-008
2.137962089502225e+000	3.497284e-008	3.169863e-008
2.187761623949545e+000	3.417676e-008	3.110217e-008
2.238721138568332e+000	3.339881e-008	3.051234e-008
2.290867652767766e+000	3.263856e-008	2.992932e-008
2.344228815319914e+000	3.189561e-008	2.935327e-008
2.398832919019482e+000	3.116958e-008	2.878436e-008
2.454708915685022e+000	3.046007e-008	2.822271e-008
2.511886431509572e+000	2.976672e-008	2.766847e-008
2.570395782768855e+000	2.908914e-008	2.712173e-008
2.630267991895373e+000	2.842699e-008	2.658259e-008
2.691534803926906e+000	2.777992e-008	2.605114e-008
2.754228703338157e+000	2.714757e-008	2.552745e-008
2.818382931264444e+000	2.652961e-008	2.501157e-008
2.884031503126595e+000	2.592573e-008	2.450355e-008
2.951209226666375e+000	2.533558e-008	2.400342e-008
3.019951720402005e+000	2.475888e-008	2.351122e-008
3.090295432513579e+000	2.419530e-008	2.302694e-008
3.162277660168367e+000	2.364454e-008	2.255060e-008
3.235936569296270e+000	2.310633e-008	2.208219e-008
3.311311214825898e+000	2.258036e-008	2.162170e-008
3.388441561392012e+000	2.206637e-008	2.116910e-008
3.467368504525302e+000	2.156408e-008	2.072437e-008
3.548133892335740e+000	2.107322e-008	2.028746e-008
3.630780547700999e+000	2.059354e-008	1.985834e-008
3.715352290971711e+000	2.012477e-008	1.943696e-008
3.801893963205597e+000	1.966668e-008	1.902325e-008
3.890451449942790e+000	1.921901e-008	1.861716e-008
3.981071705534956e+000	1.878153e-008	1.821863e-008
4.073802778041110e+000	1.835401e-008	1.782757e-008
4.168693834703337e+000	1.793622e-008	1.744393e-008
4.265795188015909e+000	1.752794e-008	1.706762e-008
4.365158322401642e+000	1.712896e-008	1.669856e-008
4.466835921509612e+000	1.673905e-008	1.633666e-008
4.570881896148731e+000	1.635803e-008	1.598184e-008
4.677351412871962e+000	1.598567e-008	1.563401e-008
4.786300923226363e+000	1.562180e-008	1.529308e-008
4.897788193684440e+000	1.526620e-008	1.495894e-008
5.011872336272701e+000	1.491870e-008	1.463152e-008
5.128613839913625e+000	1.457911e-008	1.431071e-008
5.248074602497702e+000	1.424725e-008	1.399642e-008
5.370317963702503e+000	1.392294e-008	1.368854e-008
5.495408738576220e+000	1.360601e-008	1.338697e-008
5.623413251903465e+000	1.329630e-008	1.309162e-008
5.754399373371542e+000	1.299364e-008	1.280239e-008
5.888436553555861e+000	1.269787e-008	1.251917e-008
6.025595860743549e+000	1.240883e-008	1.224187e-008
6.165950018614792e+000	1.212637e-008	1.197038e-008
6.309573444801902e+000	1.185034e-008	1.170460e-008
6.456542290346524e+000	1.158060e-008	1.144444e-008
6.606934480075928e+000	1.131699e-008	1.118979e-008
6.760829753919785e+000	1.105938e-008	1.094055e-008
6.918309709189331e+000	1.080764e-008	1.069663e-008
7.079457843841344e+000	1.056163e-008	1.045792e-008
7.244359600749864e+000	1.032122e-008	1.022434e-008
7.413102413009137e+000	1.008628e-008	9.995780e-009
7.585775750291798e+000	9.856686e-009	9.772150e-009
7.762471166286877e+000	9.632321e-009	9.553354e-009
7.943282347242774e+000	9.413062e-009	9.339299e-009
8.128305161640951e+000	9.198796e-009	9.129892e-009
8.317637711026666e+000	8.989405e-009	8.925043e-009
8.511380382023720e+000	8.784781e-009	8.724661e-009
8.709635899560761e+000	8.584816e-009	8.528658e-009
8.912509381337408e+000	8.389401e-009	8.336944e-009
9.120108393559049e+000	8.198435e-009	8.149436e-009
9.332543007969861e+000	8.011816e-009	7.966046e-009
9.549925860214309e+000	7.829445e-009	7.786690e-009
9.772372209558055e+000	7.651225e-009	7.611288e-009
9.999999999999947e+000	7.477062e-009	7.439755e-009
1.023292992280749e+001	7.306863e-009	7.272014e-009
1.047128548050894e+001	7.140538e-009	7.107984e-009
1.071519305237601e+001	6.978000e-009	6.947590e-009
1.096478196143179e+001	6.819161e-009	6.790752e-009
1.122018454301957e+001	6.663938e-009	6.637399e-009
1.148153621496876e+001	6.512249e-009	6.487455e-009
1.174897554939523e+001	6.364012e-009	6.340849e-009
1.202264434617406e+001	6.219149e-009	6.197509e-009
1.230268770812375e+001	6.077584e-009	6.057366e-009
1.258925411794160e+001	5.939242e-009	5.920352e-009
1.288249551693127e+001	5.804048e-009	5.786398e-009
1.318256738556400e+001	5.671931e-009	5.655440e-009
1.348962882591646e+001	5.542823e-009	5.527413e-009
1.380384264602877e+001	5.416652e-009	5.402253e-009
1.412537544622746e+001	5.293355e-009	5.279898e-009
1.445439770745919e+001	5.172863e-009	5.160288e-009
1.479108388168199e+001	5.055115e-009	5.043362e-009
1.513561248436199e+001	4.940046e-009	4.929062e-009
1.548816618912472e+001	4.827597e-009	4.817331e-009
1.584893192461104e+001	4.717708e-009	4.708111e-009
1.621810097358920e+001	4.610319e-009	4.601349e-009
1.659586907437550e+001	4.505376e-009	4.496990e-009
1.698243652461734e+001	4.402821e-009	4.394981e-009
1.737800828749365e+001	4.302600e-009	4.295271e-009
1.778279410038912e+001	4.204661e-009	4.197808e-009
1.819700858609972e+001	4.108951e-009	4.102543e-009
1.862087136662855e+001	4.015420e-009	4.009427e-009
1.905460717963235e+001	3.924018e-009	3.918413e-009
1.949844599758032e+001	3.834697e-009	3.829454e-009
1.995262314968866e+001	3.747409e-009	3.742505e-009
2.041737944669515e+001	3.662107e-009	3.657519e-009
2.089296130854025e+001	3.578748e-009	3.574455e-009
2.137962089502218e+001	3.497285e-009	3.493269e-009
2.187761623949537e+001	3.417677e-009	3.413919e-009
2.238721138568324e+001	3.339881e-009	3.336364e-009
2.290867652767757e+001	3.263857e-009	3.260564e-009
2.344228815319906e+001	3.189562e-009	3.186480e-009
2.398832919019474e+001	3.116959e-009	3.114073e-009
2.454708915685013e+001	3.046008e-009	3.043306e-009
2.511886431509563e+001	2.976673e-009	2.974142e-009
2.570395782768846e+001	2.908916e-009	2.906545e-009
2.630267991895363e+001	2.842701e-009	2.840480e-009
2.691534803926897e+001	2.777993e-009	2.775912e-009
2.754228703338147e+001	2.714758e-009	2.712808e-009
2.818382931264434e+001	2.652963e-009	2.651135e-009
2.884031503126585e+001	2.592574e-009	2.590861e-009
2.951209226666364e+001	2.533560e-009	2.531954e-009
3.019951720401994e+001	2.475889e-009	2.474383e-009
3.090295432513568e+001	2.419531e-009	2.418118e-009
3.162277660168356e+001	2.364456e-009	2.363130e-009
3.235936569296258e+001	2.310634e-009	2.309391e-009
3.311311214825886e+001	2.258038e-009	2.256871e-009
3.388441561392000e+001	2.206639e-009	2.205543e-009
3.467368504525290e+001	2.156409e-009	2.155381e-009
3.548133892335728e+001	2.107324e-009	2.106357e-009
3.630780547700986e+001	2.059355e-009	2.058447e-009
3.715352290971697e+001	2.012479e-009	2.011626e-009
3.801893963205583e+001	1.966669e-009	1.965867e-009
3.890451449942776e+001	1.921902e-009	1.921148e-009
3.981071705534941e+001	1.878155e-009	1.877445e-009
4.073802778041095e+001	1.835403e-009	1.834735e-009
4.168693834703321e+001	1.793624e-009	1.792996e-009
4.265795188015893e+001	1.752796e-009	1.752205e-009
4.365158322401625e+001	1.712898e-009	1.712341e-009
4.466835921509595e+001	1.673908e-009	1.673383e-009
4.570881896148713e+001	1.635805e-009	1.635311e-009
4.677351412871944e+001	1.598569e-009	1.598104e-009
4.786300923226344e+001	1.562182e-009	1.561742e-009
4.897788193684422e+001	1.526622e-009	1.526208e-009
5.011872336272682e+001	1.491872e-009	1.491481e-009
5.128613839913606e+001	1.457913e-009	1.457544e-009
5.248074602497682e+001	1.424727e-009	1.424378e-009
5.370317963702482e+001	1.392296e-009	1.391967e-009
5.495408738576199e+001	1.360604e-009	1.360292e-009
5.623413251903443e+001	1.329633e-009	1.329338e-009
5.754399373371521e+001	1.299367e-009	1.299088e-009
5.888436553555840e+001	1.269790e-009	1.269526e-009
6.025595860743526e+001	1.240886e-009	1.240636e-009
6.165950018614769e+001	1.212640e-009	1.212403e-009
6.309573444801878e+001	1.185037e-009	1.184813e-009
6.456542290346499e+001	1.158063e-009	1.157850e-009
6.606934480075903e+001	1.131702e-009	1.131500e-009
6.760829753919759e+001	1.105942e-009	1.105750e-009
6.918309709189305e+001	1.080767e-009	1.080585e-009
7.079457843841317e+001	1.056166e-009	1.055993e-009
7.244359600749837e+001	1.032125e-009	1.031961e-009
7.413102413009111e+001	1.008631e-009	1.008475e-009
7.585775750291771e+001	9.856721e-010	9.855233e-010
7.762471166286849e+001	9.632357e-010	9.630939e-010
7.943282347242744e+001	9.413099e-010	9.411749e-010
8.128305161640920e+001	9.198832e-010	9.197546e-010
8.317637711026636e+001	8.989443e-010	8.988216e-010
8.511380382023688e+001	8.784820e-010	8.783650e-010
8.709635899560728e+001	8.584855e-010	8.583738e-010
8.912509381337374e+001	8.389442e-010	8.388374e-010
9.120108393559013e+001	8.198477e-010	8.197457e-010
9.332543007969824e+001	8.011858e-010	8.010883e-010
9.549925860214270e+001	7.829488e-010	7.828556e-010
9.772372209558016e+001	7.651270e-010	7.650376e-010
9.999999999999906e+001	7.477107e-010	7.476252e-010
1.023292992280745e+002	7.306910e-010	7.306090e-010
1.047128548050890e+002	7.140586e-010	7.139801e-010
1.071519305237596e+002	6.978049e-010	6.977295e-010
1.096478196143175e+002	6.819212e-010	6.818489e-010
1.122018454301953e+002	6.663990e-010	6.663295e-010
1.148153621496872e+002	6.512301e-010	6.511634e-010
1.174897554939518e+002	6.364065e-010	6.363425e-010
1.202264434617402e+002	6.219204e-010	6.218588e-010
1.230268770812370e+002	6.077641e-010	6.077048e-010
1.258925411794155e+002	5.939299e-010	5.938728e-010
1.288249551693122e+002	5.804107e-010	5.803557e-010
1.318256738556394e+002	5.671992e-010	5.671463e-010
1.348962882591640e+002	5.542884e-010	5.542374e-010
1.380384264602871e+002	5.416716e-010	5.416224e-010
1.412537544622740e+002	5.293420e-010	5.292945e-010
1.445439770745913e+002	5.172929e-010	5.172471e-010
1.479108388168193e+002	5.055182e-010	5.054740e-010
1.513561248436193e+002	4.940116e-010	4.939689e-010
1.548816618912466e+002	4.827668e-010	4.827255e-010
1.584893192461097e+002	4.717780e-010	4.717381e-010
1.621810097358913e+002	4.610394e-010	4.610008e-010
1.659586907437543e+002	4.505452e-010	4.505079e-010
1.698243652461727e+002	4.402899e-010	4.402538e-010
1.737800828749357e+002	4.302680e-010	4.302331e-010
1.778279410038904e+002	4.204743e-010	4.204404e-010
1.819700858609964e+002	4.109035e-010	4.108707e-010
1.862087136662848e+002	4.015506e-010	4.015188e-010
1.905460717963227e+002	3.924106e-010	3.923798e-010
1.949844599758025e+002	3.834786e-010	3.834488e-010
1.995262314968859e+002	3.747500e-010	3.747210e-010
2.041737944669508e+002	3.662201e-010	3.661920e-010
2.089296130854017e+002	3.578843e-010	3.578570e-010
2.137962089502209e+002	3.497383e-010	3.497119e-010
2.187761623949529e+002	3.417777e-010	3.417521e-010
2.238721138568316e+002	3.339984e-010	3.339735e-010
2.290867652767749e+002	3.263962e-010	3.263719e-010
2.344228815319897e+002	3.189670e-010	3.189434e-010
2.398832919019465e+002	3.117069e-010	3.116840e-010
2.454708915685004e+002	3.046121e-010	3.045898e-010
2.511886431509553e+002	2.976788e-010	2.976571e-010
2.570395782768836e+002	2.909033e-010	2.908823e-010
2.630267991895354e+002	2.842821e-010	2.842616e-010
2.691534803926887e+002	2.778116e-010	2.777917e-010
2.754228703338137e+002	2.714884e-010	2.714690e-010
2.818382931264423e+002	2.653092e-010	2.652903e-010
2.884031503126574e+002	2.592706e-010	2.592522e-010
2.951209226666354e+002	2.533695e-010	2.533516e-010
3.019951720401983e+002	2.476027e-010	2.475853e-010
3.090295432513557e+002	2.419672e-010	2.419503e-010
3.162277660168345e+002	2.364600e-010	2.364435e-010
3.235936569296247e+002	2.310782e-010	2.310621e-010
3.311311214825875e+002	2.258189e-010	2.258033e-010
3.388441561391988e+002	2.206793e-010	2.206641e-010
3.467368504525278e+002	2.156568e-010	2.156419e-010
3.548133892335715e+002	2.107486e-010	2.107341e-010
3.630780547700973e+002	2.059521e-010	2.059380e-010
3.715352290971684e+002	2.012648e-010	2.012511e-010
3.801893963205569e+002	1.966843e-010	1.966708e-010
3.890451449942762e+002	1.922080e-010	1.921949e-010
3.981071705534927e+002	1.878336e-010	1.878208e-010
4.073802778041081e+002	1.835588e-010	1.835464e-010
4.168693834703306e+002	1.793814e-010	1.793692e-010
4.265795188015877e+002	1.752990e-010	1.752872e-010
4.365158322401609e+002	1.713096e-010	1.712981e-010
4.466835921509579e+002	1.674111e-010	1.673998e-010
4.570881896148697e+002	1.636013e-010	1.635903e-010
4.677351412871927e+002	1.598782e-010	1.598675e-010
4.786300923226327e+002	1.562399e-010	1.562294e-010
4.897788193684405e+002	1.526845e-010	1.526742e-010
5.011872336272664e+002	1.492099e-010	1.492000e-010
5.128613839913588e+002	1.458146e-010	1.458048e-010
5.248074602497665e+002	1.424965e-010	1.424870e-010
5.370317963702464e+002	1.392540e-010	1.392447e-010
5.495408738576181e+002	1.360853e-010	1.360762e-010
5.623413251903425e+002	1.329887e-010	1.329799e-010
5.754399373371501e+002	1.299627e-010	1.299541e-010
5.888436553555820e+002	1.270056e-010	1.269972e-010
6.025595860743506e+002	1.241158e-010	1.241076e-010
6.165950018614748e+002	1.212918e-010	1.212838e-010
6.309573444801856e+002	1.185322e-010	1.185243e-010
6.456542290346476e+002	1.158353e-010	1.158277e-010
6.606934480075879e+002	1.131999e-010	1.131925e-010
6.760829753919735e+002	1.106245e-010	1.106172e-010
6.918309709189280e+002	1.081078e-010	1.081007e-010
7.079457843841292e+002	1.056484e-010	1.056414e-010
7.244359600749812e+002	1.032450e-010	1.032382e-010
7.413102413009084e+002	1.008963e-010	1.008897e-010
7.585775750291745e+002	9.860113e-011	9.859465e-011
7.762471166286822e+002	9.635824e-011	9.635191e-011
7.943282347242717e+002	9.416642e-011	9.416024e-011
8.128305161640892e+002	9.202454e-011	9.201850e-011
8.317637711026607e+002	8.993144e-011	8.992553e-011
8.511380382023659e+002	8.788602e-011	8.788025e-011
8.709635899560698e+002	8.588719e-011	8.588156e-011
8.912509381337344e+002	8.393389e-011	8.392839e-011
9.120108393558983e+002	8.202510e-011	8.201972e-011
9.332543007969792e+002	8.015979e-011	8.015454e-011
9.549925860214238e+002	7.833698e-011	7.833184e-011
9.772372209557982e+002	7.655569e-011	7.655067e-011
9.999999999999872e+002	7.481498e-011	7.481008e-011
1.023292992280741e+003	7.311394e-011	7.310915e-011
1.047128548050886e+003	7.145166e-011	7.144698e-011
1.071519305237592e+003	6.982725e-011	6.982268e-011
1.096478196143171e+003	6.823986e-011	6.823539e-011
1.122018454301949e+003	6.668863e-011	6.668427e-011
1.148153621496868e+003	6.517276e-011	6.516850e-011
1.174897554939514e+003	6.369144e-011	6.368727e-011
1.202264434617397e+003	6.224387e-011	6.223980e-011
1.230268770812365e+003	6.082929e-011	6.082532e-011
1.258925411794151e+003	5.944696e-011	5.944307e-011
1.288249551693117e+003	5.809613e-011	5.809233e-011
1.318256738556389e+003	5.677609e-011	5.677238e-011
1.348962882591635e+003	5.548614e-011	5.548251e-011
1.380384264602866e+003	5.422560e-011	5.422205e-011
1.412537544622735e+003	5.299379e-011	5.299032e-011
1.445439770745908e+003	5.179006e-011	5.178667e-011
1.479108388168187e+003	5.061377e-011	5.061046e-011
1.513561248436188e+003	4.946430e-011	4.946107e-011
1.548816618912460e+003	4.834104e-011	4.833788e-011
1.584893192461092e+003	4.724339e-011	4.724030e-011
1.621810097358908e+003	4.617077e-011	4.616774e-011
1.659586907437538e+003	4.512260e-011	4.511965e-011
1.698243652461721e+003	4.409834e-011	4.409545e-011
1.737800828749352e+003	4.309743e-011	4.309461e-011
1.778279410038899e+003	4.211935e-011	4.211659e-011
1.819700858609959e+003	4.116357e-011	4.116087e-011
1.862087136662842e+003	4.022959e-011	4.022695e-011
1.905460717963221e+003	3.931691e-011	3.931433e-011
1.949844599758018e+003	3.842505e-011	3.842253e-011
1.995262314968852e+003	3.755353e-011	3.755107e-011
2.041737944669501e+003	3.670189e-011	3.669948e-011
2.089296130854011e+003	3.586967e-011	3.586732e-011
2.137962089502203e+003	3.505644e-011	3.505413e-011
2.187761623949522e+003	3.426176e-011	3.425950e-011
2.238721138568309e+003	3.348520e-011	3.348300e-011
2.290867652767741e+003	3.272636e-011	3.272421e-011
2.344228815319890e+003	3.198483e-011	3.198272e-011
2.398832919019457e+003	3.126022e-011	3.125815e-011
2.454708915684996e+003	3.055213e-011	3.055011e-011
2.511886431509545e+003	2.986020e-011	2.985823e-011
2.570395782768828e+003	2.918406e-011	2.918213e-011
2.630267991895345e+003	2.852334e-011	2.852145e-011
2.691534803926878e+003	2.787770e-011	2.787585e-011
2.754228703338128e+003	2.724678e-011	2.724498e-011
2.818382931264414e+003	2.663026e-011	2.662850e-011
2.884031503126565e+003	2.602781e-011	2.602608e-011
2.951209226666344e+003	2.543910e-011	2.543741e-011
3.019951720401973e+003	2.486382e-011	2.486217e-011
3.090295432513546e+003	2.430167e-011	2.430005e-011
3.162277660168334e+003	2.375234e-011	2.375076e-011
3.235936569296236e+003	2.321555e-011	2.321400e-011
3.311311214825863e+003	2.269100e-011	2.268949e-011
3.388441561391976e+003	2.217842e-011	2.217694e-011
3.467368504525266e+003	2.167753e-011	2.167608e-011
3.548133892335703e+003	2.118807e-011	2.118665e-011
3.630780547700960e+003	2.070978e-011	2.070839e-011
3.715352290971671e+003	2.024240e-011	2.024104e-011
3.801893963205556e+003	1.978568e-011	1.978435e-011
3.890451449942748e+003	1.933938e-011	1.933807e-011
3.981071705534913e+003	1.890325e-011	1.890198e-011
4.073802778041067e+003	1.847708e-011	1.847583e-011
4.168693834703292e+003	1.806062e-011	1.805941e-011
4.265795188015863e+003	1.765367e-011	1.765247e-011
4.365158322401594e+003	1.725599e-011	1.725482e-011
4.466835921509563e+003	1.686738e-011	1.686624e-011
4.570881896148680e+003	1.648763e-011	1.648652e-011
4.677351412871911e+003	1.611654e-011	1.611545e-011
4.786300923226310e+003	1.575391e-011	1.575284e-011
4.897788193684387e+003	1.539954e-011	1.539849e-011
5.011872336272646e+003	1.505325e-011	1.505223e-011
5.128613839913570e+003	1.471485e-011	1.471384e-011
5.248074602497645e+003	1.438416e-011	1.438317e-011
5.370317963702444e+003	1.406100e-011	1.406003e-011
5.495408738576160e+003	1.374519e-011	1.374425e-011
5.623413251903404e+003	1.343658e-011	1.343565e-011
5.754399373371480e+003	1.313499e-011	1.313408e-011
5.888436553555798e+003	1.284026e-011	1.283937e-011
6.025595860743483e+003	1.255224e-011	1.255137e-011
6.165950018614725e+003	1.227076e-011	1.226991e-011
6.309573444801834e+003	1.199568e-011	1.199485e-011
6.456542290346454e+003	1.172686e-011	1.172604e-011
6.606934480075856e+003	1.146413e-011	1.146333e-011
6.760829753919711e+003	1.120737e-011	1.120659e-011
6.918309709189256e+003	1.095644e-011	1.095568e-011
7.079457843841267e+003	1.071120e-011	1.071045e-011
7.244359600749786e+003	1.047152e-011	1.047078e-011
7.413102413009058e+003	1.023727e-011	1.023655e-011
7.585775750291718e+003	1.000832e-011	1.000762e-011
7.762471166286794e+003	9.784560e-012	9.783867e-012
7.943282347242689e+003	9.565857e-012	9.565178e-012
8.128305161640863e+003	9.352097e-012	9.351432e-012
8.317637711026577e+003	9.143167e-012	9.142515e-012
8.511380382023628e+003	8.938954e-012	8.938314e-012
8.709635899560666e+003	8.739348e-012	8.738722e-012
8.912509381337311e+003	8.544242e-012	8.543628e-012
9.120108393558950e+003	8.353532e-012	8.352931e-012
9.332543007969760e+003	8.167116e-012	8.166527e-012
9.549925860214205e+003	7.984896e-012	7.984318e-012
9.772372209557949e+003	7.806772e-012	7.806205e-012
9.999999999999838e+003	7.632650e-012	7.632095e-012
1.023292992280738e+004	7.462438e-012	7.461895e-012
1.047128548050883e+004	7.296046e-012	7.295513e-012
1.071519305237589e+004	7.133385e-012	7.132863e-012
1.096478196143167e+004	6.974369e-012	6.973858e-012
1.122018454301945e+004	6.818915e-012	6.818413e-012
1.148153621496864e+004	6.666940e-012	6.666449e-012
1.174897554939510e+004	6.518364e-012	6.517883e-012
1.202264434617393e+004	6.373110e-012	6.372639e-012
1.230268770812361e+004	6.231102e-012	6.230640e-012
1.258925411794147e+004	6.092265e-012	6.091812e-012
1.288249551693113e+004	5.956527e-012	5.956084e-012
1.318256738556385e+004	5.823818e-012	5.823384e-012
1.348962882591631e+004	5.694069e-012	5.693643e-012
1.380384264602862e+004	5.567213e-012	5.566796e-012
1.412537544622731e+004	5.443185e-012	5.442776e-012
1.445439770745904e+004	5.321920e-012	5.321520e-012
