Circuit: * Z:\home\mainster\CODES_local\LTSpice_projects\koblitz_EAS_klausuren\ws13_14_buck_fan.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.0302 to 0.0302
Heightened Def Con from 0.0303 to 0.0303
Heightened Def Con from 0.0304 to 0.0304
Heightened Def Con from 0.0305 to 0.0305
Heightened Def Con from 0.0306 to 0.0306
Heightened Def Con from 0.0308 to 0.0308
Heightened Def Con from 0.0309 to 0.0309
Heightened Def Con from 0.031 to 0.031
Heightened Def Con from 0.0311 to 0.0311
Heightened Def Con from 0.0312 to 0.0312
Heightened Def Con from 0.0314 to 0.0314
Heightened Def Con from 0.0315 to 0.0315
Heightened Def Con from 0.0316 to 0.0316
Heightened Def Con from 0.0317 to 0.0317
Heightened Def Con from 0.0318 to 0.0318
Heightened Def Con from 0.0319 to 0.0319
Heightened Def Con from 0.032 to 0.032
Heightened Def Con from 0.0321 to 0.0321
Heightened Def Con from 0.0322 to 0.0322
Heightened Def Con from 0.0323 to 0.0323
Heightened Def Con from 0.0325 to 0.0325
Heightened Def Con from 0.0326 to 0.0326
Heightened Def Con from 0.0327 to 0.0327
Heightened Def Con from 0.0328 to 0.0328
Heightened Def Con from 0.0329 to 0.0329
Heightened Def Con from 0.033 to 0.033
Heightened Def Con from 0.0331 to 0.0331
Heightened Def Con from 0.0333 to 0.0333
Heightened Def Con from 0.0334 to 0.0334
Heightened Def Con from 0.0336 to 0.0336
Heightened Def Con from 0.0337 to 0.0337
Heightened Def Con from 0.0339 to 0.0339
Heightened Def Con from 0.034 to 0.034
Heightened Def Con from 0.0341 to 0.0341
Heightened Def Con from 0.0342 to 0.0342
Heightened Def Con from 0.0343 to 0.0343
Heightened Def Con from 0.0344 to 0.0344
Heightened Def Con from 0.0345 to 0.0345
Heightened Def Con from 0.0346 to 0.0346
Heightened Def Con from 0.0347 to 0.0347
Heightened Def Con from 0.0348 to 0.0348
Heightened Def Con from 0.0349 to 0.0349
Heightened Def Con from 0.0352 to 0.0352
Heightened Def Con from 0.0353 to 0.0353
Heightened Def Con from 0.0354 to 0.0354
Heightened Def Con from 0.0355 to 0.0355
Heightened Def Con from 0.0356 to 0.0356
Heightened Def Con from 0.0358 to 0.0358
Heightened Def Con from 0.036 to 0.036
Heightened Def Con from 0.0361 to 0.0361
Heightened Def Con from 0.0362 to 0.0362
Heightened Def Con from 0.0363 to 0.0363
Heightened Def Con from 0.0365 to 0.0365
Heightened Def Con from 0.0366 to 0.0366
Heightened Def Con from 0.0367 to 0.0367
Heightened Def Con from 0.0368 to 0.0368
Heightened Def Con from 0.0369 to 0.0369
Heightened Def Con from 0.037 to 0.037
Heightened Def Con from 0.0371 to 0.0371
Heightened Def Con from 0.0372 to 0.0372
Heightened Def Con from 0.0374 to 0.0374
Heightened Def Con from 0.0375 to 0.0375
Heightened Def Con from 0.0376 to 0.0376
Heightened Def Con from 0.0378 to 0.0378
Heightened Def Con from 0.0379 to 0.0379
Heightened Def Con from 0.038 to 0.038
Heightened Def Con from 0.0381 to 0.0381
Heightened Def Con from 0.0382 to 0.0382
Heightened Def Con from 0.0383 to 0.0383
Heightened Def Con from 0.0384 to 0.0384
Heightened Def Con from 0.0385 to 0.0385
Heightened Def Con from 0.0387 to 0.0387
Heightened Def Con from 0.0388 to 0.0388
Heightened Def Con from 0.0389 to 0.0389
Heightened Def Con from 0.039 to 0.039
Heightened Def Con from 0.0391 to 0.0391
Heightened Def Con from 0.0392 to 0.0392
Heightened Def Con from 0.0394 to 0.0394
Heightened Def Con from 0.0395 to 0.0395
Heightened Def Con from 0.0397 to 0.0397
Heightened Def Con from 0.0398 to 0.0398
Heightened Def Con from 0.0399 to 0.0399
Heightened Def Con from 0.04 to 0.04
Heightened Def Con from 0.0402 to 0.0402
Heightened Def Con from 0.0404 to 0.0404
Heightened Def Con from 0.0405 to 0.0405
Heightened Def Con from 0.0406 to 0.0406
Heightened Def Con from 0.0409 to 0.0409
Heightened Def Con from 0.0411 to 0.0411
Heightened Def Con from 0.0412 to 0.0412
Heightened Def Con from 0.0413 to 0.0413
Heightened Def Con from 0.0414 to 0.0414
Heightened Def Con from 0.0416 to 0.0416
Heightened Def Con from 0.0418 to 0.0418
Heightened Def Con from 0.0419 to 0.0419
Heightened Def Con from 0.042 to 0.042
Heightened Def Con from 0.0421 to 0.0421
Heightened Def Con from 0.0422 to 0.0422
Heightened Def Con from 0.0423 to 0.0423
Heightened Def Con from 0.0424 to 0.0424
Heightened Def Con from 0.0425 to 0.0425
Heightened Def Con from 0.0426 to 0.0426
Heightened Def Con from 0.0427 to 0.0427
Heightened Def Con from 0.0429 to 0.0429
Heightened Def Con from 0.0431 to 0.0431
Heightened Def Con from 0.0432 to 0.0432
Heightened Def Con from 0.0433 to 0.0433
Heightened Def Con from 0.0434 to 0.0434
Heightened Def Con from 0.0437 to 0.0437
Heightened Def Con from 0.0438 to 0.0438
Heightened Def Con from 0.0439 to 0.0439
Heightened Def Con from 0.044 to 0.044
Heightened Def Con from 0.0442 to 0.0442
Heightened Def Con from 0.0443 to 0.0443
Heightened Def Con from 0.0444 to 0.0444
Heightened Def Con from 0.0445 to 0.0445
Heightened Def Con from 0.0446 to 0.0446
Heightened Def Con from 0.0447 to 0.0447
Heightened Def Con from 0.0448 to 0.0448
Heightened Def Con from 0.0449 to 0.0449
Heightened Def Con from 0.045 to 0.045
Heightened Def Con from 0.0451 to 0.0451
Heightened Def Con from 0.0452 to 0.0452
Heightened Def Con from 0.0453 to 0.0453
Heightened Def Con from 0.0456 to 0.0456
Heightened Def Con from 0.0457 to 0.0457
Heightened Def Con from 0.0458 to 0.0458
Heightened Def Con from 0.0459 to 0.0459
Heightened Def Con from 0.0462 to 0.0462
Heightened Def Con from 0.0463 to 0.0463
Heightened Def Con from 0.0465 to 0.0465
Heightened Def Con from 0.0466 to 0.0466
Heightened Def Con from 0.0468 to 0.0468
Heightened Def Con from 0.0469 to 0.0469
Heightened Def Con from 0.047 to 0.047
Heightened Def Con from 0.0474 to 0.0474
Heightened Def Con from 0.0475 to 0.0475
Heightened Def Con from 0.0476 to 0.0476
Heightened Def Con from 0.0478 to 0.0478
Heightened Def Con from 0.0479 to 0.0479
Heightened Def Con from 0.048 to 0.048
Heightened Def Con from 0.0481 to 0.0481
Heightened Def Con from 0.0482 to 0.0482
Heightened Def Con from 0.0483 to 0.0483
Heightened Def Con from 0.0484 to 0.0484
Heightened Def Con from 0.0486 to 0.0486
Heightened Def Con from 0.0487 to 0.0487
Heightened Def Con from 0.0489 to 0.0489
Heightened Def Con from 0.049 to 0.049
Heightened Def Con from 0.0492 to 0.0492
Heightened Def Con from 0.0493 to 0.0493
Heightened Def Con from 0.0494 to 0.0494
Heightened Def Con from 0.0495 to 0.0495
Heightened Def Con from 0.0496 to 0.0496
Heightened Def Con from 0.0497 to 0.0497
Heightened Def Con from 0.0499 to 0.0499

Date: Sat Dec 06 23:00:17 2014
Total elapsed time: 4.009 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 520247
traniter = 520241
tranpoints = 181658
accept = 138514
rejected = 43469
matrix size = 18
fillins = 1
solver = Normal
Matrix Compiler1: 566 bytes object code size  0.6/0.4/[0.3]
Matrix Compiler2: 1.12 KB object code size  0.3/0.4/[0.3]


