v1	Ic(Q1)	Ic(Q2)
-1.099999999999992e-001	3.059584e-004	6.836977e-004
-9.999999999999924e-002	3.217034e-004	6.679543e-004
-8.999999999999925e-002	3.378374e-004	6.518218e-004
-7.999999999999925e-002	3.543316e-004	6.353291e-004
-6.999999999999926e-002	3.711542e-004	6.185080e-004
-5.999999999999926e-002	3.882705e-004	6.013930e-004
-4.999999999999925e-002	4.056437e-004	5.840210e-004
-3.999999999999925e-002	4.232343e-004	5.664314e-004
-2.999999999999925e-002	4.410013e-004	5.486652e-004
-1.999999999999925e-002	4.589019e-004	5.307652e-004
-9.999999999999247e-003	4.768920e-004	5.127754e-004
7.528699885739343e-016	4.949269e-004	4.947405e-004
1.000000000000075e-002	5.129615e-004	4.767057e-004
2.000000000000075e-002	5.309504e-004	4.587163e-004
3.000000000000076e-002	5.488491e-004	4.408169e-004
4.000000000000076e-002	5.666134e-004	4.230516e-004
5.000000000000076e-002	5.842008e-004	4.054630e-004
6.000000000000076e-002	6.015700e-004	3.880925e-004
7.000000000000076e-002	6.186818e-004	3.709791e-004
8.000000000000075e-002	6.354994e-004	3.541599e-004
9.000000000000075e-002	6.519881e-004	3.376695e-004
1.000000000000007e-001	6.681163e-004	3.215396e-004
1.100000000000007e-001	6.838551e-004	3.057990e-004
1.200000000000007e-001	6.991791e-004	2.904734e-004
1.300000000000007e-001	7.140654e-004	2.755854e-004
1.400000000000007e-001	7.284950e-004	2.611543e-004
1.500000000000007e-001	7.424518e-004	2.471963e-004
1.600000000000008e-001	7.559230e-004	2.337240e-004
1.700000000000008e-001	7.688989e-004	2.207472e-004
1.800000000000008e-001	7.813729e-004	2.082725e-004
1.900000000000008e-001	7.933415e-004	1.963037e-004
2.000000000000008e-001	8.048036e-004	1.848416e-004
2.100000000000008e-001	8.157608e-004	1.738846e-004
2.200000000000008e-001	8.262172e-004	1.634288e-004
2.300000000000008e-001	8.361790e-004	1.534680e-004
2.400000000000008e-001	8.456543e-004	1.439940e-004
2.500000000000008e-001	8.546528e-004	1.349971e-004
2.600000000000008e-001	8.631860e-004	1.264658e-004
2.700000000000009e-001	8.712664e-004	1.183877e-004
2.800000000000009e-001	8.789077e-004	1.107489e-004
2.900000000000009e-001	8.861246e-004	1.035349e-004
3.000000000000009e-001	8.929321e-004	9.673045e-005
3.100000000000009e-001	8.993461e-004	9.031983e-005
3.200000000000009e-001	9.053826e-004	8.428693e-005
3.300000000000009e-001	9.110578e-004	7.861544e-005
3.400000000000009e-001	9.163882e-004	7.328903e-005
3.500000000000009e-001	9.213900e-004	6.829138e-005
3.600000000000009e-001	9.260793e-004	6.360638e-005
3.700000000000009e-001	9.304720e-004	5.921812e-005
3.800000000000010e-001	9.345836e-004	5.511106e-005
3.900000000000010e-001	9.384293e-004	5.127001e-005
4.000000000000010e-001	9.420237e-004	4.768025e-005
4.100000000000010e-001	9.453812e-004	4.432752e-005
4.200000000000010e-001	9.485153e-004	4.119810e-005
4.300000000000010e-001	9.514394e-004	3.827879e-005
4.400000000000010e-001	9.541661e-004	3.555694e-005
4.500000000000010e-001	9.567073e-004	3.302047e-005
4.600000000000010e-001	9.590746e-004	3.065788e-005
4.700000000000010e-001	9.612790e-004	2.845820e-005
4.800000000000010e-001	9.633307e-004	2.641105e-005
4.900000000000011e-001	9.652398e-004	2.450658e-005
5.000000000000010e-001	9.670155e-004	2.273547e-005
5.100000000000010e-001	9.686664e-004	2.108894e-005
5.200000000000010e-001	9.702010e-004	1.955869e-005
5.300000000000010e-001	9.716270e-004	1.813693e-005
5.400000000000010e-001	9.729518e-004	1.681633e-005
5.500000000000010e-001	9.741823e-004	1.558998e-005
5.600000000000011e-001	9.753248e-004	1.445143e-005
5.700000000000011e-001	9.763854e-004	1.339462e-005
5.800000000000011e-001	9.773700e-004	1.241389e-005
5.900000000000011e-001	9.782836e-004	1.150391e-005
6.000000000000011e-001	9.791313e-004	1.065975e-005
6.100000000000011e-001	9.799177e-004	9.876755e-006
6.200000000000011e-001	9.806472e-004	9.150612e-006
6.300000000000011e-001	9.813238e-004	8.477283e-006
6.400000000000011e-001	9.819511e-004	7.853008e-006
6.500000000000011e-001	9.825329e-004	7.274285e-006
6.600000000000011e-001	9.830722e-004	6.737847e-006
6.700000000000012e-001	9.835722e-004	6.240658e-006
6.800000000000012e-001	9.840357e-004	5.779888e-006
6.900000000000012e-001	9.844652e-004	5.352910e-006
7.000000000000012e-001	9.848634e-004	4.957276e-006
7.100000000000012e-001	9.852323e-004	4.590715e-006
7.200000000000012e-001	9.855742e-004	4.251113e-006
7.300000000000012e-001	9.858910e-004	3.936509e-006
7.400000000000012e-001	9.861846e-004	3.645080e-006
7.500000000000012e-001	9.864565e-004	3.375134e-006
7.600000000000012e-001	9.867084e-004	3.125102e-006
7.700000000000012e-001	9.869419e-004	2.893524e-006
7.800000000000013e-001	9.871582e-004	2.679049e-006
7.900000000000013e-001	9.873585e-004	2.480421e-006
8.000000000000013e-001	9.875441e-004	2.296477e-006
8.100000000000013e-001	9.877159e-004	2.126138e-006
8.200000000000013e-001	9.878752e-004	1.968402e-006
8.300000000000013e-001	9.880225e-004	1.822342e-006
8.400000000000013e-001	9.881591e-004	1.687096e-006
8.500000000000013e-001	9.882856e-004	1.561868e-006
8.600000000000013e-001	9.884028e-004	1.445918e-006
8.700000000000013e-001	9.885113e-004	1.338562e-006
8.800000000000013e-001	9.886118e-004	1.239164e-006
8.900000000000014e-001	9.887049e-004	1.147137e-006
9.000000000000014e-001	9.887910e-004	1.061935e-006
9.100000000000014e-001	9.888709e-004	9.830530e-007
9.200000000000014e-001	9.889448e-004	9.100241e-007
9.300000000000014e-001	9.890132e-004	8.424146e-007
9.400000000000014e-001	9.890766e-004	7.798232e-007
9.500000000000014e-001	9.891352e-004	7.218781e-007
9.600000000000014e-001	9.891896e-004	6.682351e-007
9.700000000000014e-001	9.892399e-004	6.185752e-007
9.800000000000014e-001	9.892866e-004	5.726032e-007
9.900000000000014e-001	9.893297e-004	5.300456e-007
1.000000000000000e+000	9.893696e-004	4.906490e-007
